graph_id,src_id,dst_id,src_type,dst_type,edge_type
0,0,27,0,1,2
0,0,28,0,1,2
0,0,31,0,1,2
0,0,32,0,1,2
0,0,33,0,1,2
0,0,34,0,1,2
0,0,36,0,1,2
0,0,37,0,1,2
0,0,38,0,1,2
0,0,39,0,1,2
0,0,42,0,1,2
0,0,43,0,1,2
0,0,44,0,1,2
0,0,45,0,1,2
0,0,46,0,1,2
0,0,47,0,1,2
0,0,49,0,1,2
0,0,50,0,1,2
0,0,52,0,1,2
0,0,54,0,1,2
0,0,55,0,1,2
0,0,58,0,1,2
0,0,63,0,1,2
0,0,64,0,1,2
0,0,65,0,1,2
0,0,66,0,1,2
0,0,67,0,1,2
0,0,70,0,1,2
0,0,71,0,1,2
0,0,72,0,1,2
0,0,73,0,1,2
0,0,74,0,1,2
0,0,77,0,1,2
0,0,78,0,1,2
0,0,79,0,1,2
0,0,80,0,1,2
0,0,81,0,1,2
0,0,82,0,1,2
0,0,83,0,1,2
0,0,84,0,1,2
0,0,87,0,1,2
0,0,88,0,1,2
0,0,89,0,1,2
0,0,90,0,1,2
0,0,91,0,1,2
0,0,93,0,1,2
0,0,95,0,1,2
0,0,100,0,1,2
0,0,102,0,1,2
0,0,104,0,1,2
0,0,106,0,1,2
0,0,107,0,1,2
0,0,108,0,1,2
0,0,110,0,1,2
0,0,111,0,1,2
0,0,113,0,2,12
0,0,114,0,2,12
0,0,116,0,2,12
0,0,117,0,2,12
0,0,118,0,2,12
0,0,119,0,2,12
0,0,121,0,2,12
0,0,122,0,2,12
0,0,124,0,2,12
0,0,126,0,2,17
0,0,128,0,2,12
0,0,129,0,2,12
0,0,130,0,2,12
0,0,132,0,2,7
0,0,135,0,2,12
0,0,136,0,2,12
0,0,138,0,2,12
0,0,140,0,2,16
0,0,141,0,2,12
0,0,142,0,2,12
0,0,143,0,2,12
0,0,145,0,2,7
0,0,146,0,2,12
0,0,147,0,2,12
0,0,148,0,2,12
0,1,27,0,1,2
0,1,32,0,1,2
0,1,33,0,1,2
0,1,36,0,1,2
0,1,37,0,1,2
0,1,39,0,1,2
0,1,42,0,1,2
0,1,44,0,1,2
0,1,45,0,1,2
0,1,46,0,1,2
0,1,47,0,1,2
0,1,49,0,1,2
0,1,50,0,1,2
0,1,51,0,1,2
0,1,54,0,1,2
0,1,58,0,1,2
0,1,60,0,1,2
0,1,63,0,1,2
0,1,64,0,1,2
0,1,65,0,1,2
0,1,67,0,1,2
0,1,71,0,1,2
0,1,72,0,1,2
0,1,74,0,1,2
0,1,77,0,1,2
0,1,80,0,1,2
0,1,81,0,1,2
0,1,82,0,1,2
0,1,83,0,1,2
0,1,84,0,1,2
0,1,86,0,1,2
0,1,87,0,1,2
0,1,88,0,1,2
0,1,89,0,1,2
0,1,94,0,1,2
0,1,95,0,1,2
0,1,96,0,1,2
0,1,97,0,1,2
0,1,99,0,1,2
0,1,101,0,1,2
0,1,102,0,1,2
0,1,106,0,1,2
0,1,107,0,1,2
0,1,110,0,1,2
0,1,111,0,1,2
0,1,112,0,1,2
0,1,113,0,2,12
0,1,114,0,2,12
0,1,115,0,2,16
0,1,116,0,2,12
0,1,117,0,2,12
0,1,118,0,2,12
0,1,119,0,2,12
0,1,121,0,2,12
0,1,122,0,2,12
0,1,123,0,2,12
0,1,124,0,2,12
0,1,128,0,2,12
0,1,129,0,2,12
0,1,130,0,2,12
0,1,132,0,2,7
0,1,135,0,2,12
0,1,136,0,2,12
0,1,137,0,2,12
0,1,138,0,2,12
0,1,140,0,2,16
0,1,141,0,2,12
0,1,142,0,2,12
0,1,143,0,2,12
0,1,144,0,2,7
0,1,145,0,2,7
0,1,146,0,2,12
0,1,147,0,2,12
0,1,148,0,2,12
0,2,30,0,1,2
0,2,31,0,1,2
0,2,32,0,1,2
0,2,34,0,1,2
0,2,35,0,1,2
0,2,38,0,1,2
0,2,39,0,1,2
0,2,42,0,1,2
0,2,44,0,1,2
0,2,45,0,1,2
0,2,46,0,1,2
0,2,47,0,1,2
0,2,48,0,1,2
0,2,49,0,1,2
0,2,50,0,1,2
0,2,51,0,1,2
0,2,52,0,1,2
0,2,54,0,1,2
0,2,57,0,1,2
0,2,58,0,1,2
0,2,60,0,1,2
0,2,61,0,1,2
0,2,62,0,1,2
0,2,63,0,1,2
0,2,64,0,1,2
0,2,65,0,1,2
0,2,67,0,1,2
0,2,68,0,1,2
0,2,72,0,1,2
0,2,74,0,1,2
0,2,75,0,1,2
0,2,79,0,1,2
0,2,80,0,1,2
0,2,81,0,1,2
0,2,82,0,1,2
0,2,84,0,1,2
0,2,87,0,1,2
0,2,88,0,1,2
0,2,89,0,1,2
0,2,91,0,1,2
0,2,93,0,1,2
0,2,94,0,1,2
0,2,95,0,1,2
0,2,96,0,1,2
0,2,98,0,1,2
0,2,100,0,1,2
0,2,101,0,1,2
0,2,102,0,1,2
0,2,103,0,1,2
0,2,104,0,1,2
0,2,105,0,1,2
0,2,106,0,1,2
0,2,107,0,1,2
0,2,108,0,1,2
0,2,110,0,1,2
0,2,111,0,1,2
0,2,112,0,1,2
0,2,113,0,2,12
0,2,114,0,2,12
0,2,116,0,2,12
0,2,117,0,2,12
0,2,118,0,2,12
0,2,119,0,2,12
0,2,121,0,2,12
0,2,122,0,2,12
0,2,123,0,2,12
0,2,124,0,2,12
0,2,128,0,2,12
0,2,129,0,2,12
0,2,130,0,2,12
0,2,132,0,2,7
0,2,135,0,2,12
0,2,136,0,2,12
0,2,138,0,2,12
0,2,140,0,2,16
0,2,141,0,2,12
0,2,142,0,2,12
0,2,143,0,2,12
0,2,145,0,2,7
0,2,146,0,2,12
0,2,147,0,2,12
0,2,148,0,2,12
0,3,27,0,1,2
0,3,28,0,1,2
0,3,31,0,1,2
0,3,32,0,1,2
0,3,34,0,1,2
0,3,35,0,1,2
0,3,36,0,1,2
0,3,37,0,1,2
0,3,38,0,1,2
0,3,39,0,1,2
0,3,42,0,1,2
0,3,43,0,1,2
0,3,44,0,1,2
0,3,45,0,1,2
0,3,46,0,1,2
0,3,47,0,1,2
0,3,49,0,1,2
0,3,50,0,1,2
0,3,52,0,1,2
0,3,54,0,1,2
0,3,55,0,1,2
0,3,57,0,1,2
0,3,58,0,1,2
0,3,60,0,1,2
0,3,62,0,1,2
0,3,63,0,1,2
0,3,64,0,1,2
0,3,65,0,1,2
0,3,67,0,1,2
0,3,68,0,1,2
0,3,69,0,1,2
0,3,70,0,1,2
0,3,72,0,1,2
0,3,73,0,1,2
0,3,74,0,1,2
0,3,77,0,1,2
0,3,79,0,1,2
0,3,80,0,1,2
0,3,81,0,1,2
0,3,82,0,1,2
0,3,83,0,1,2
0,3,84,0,1,2
0,3,87,0,1,2
0,3,88,0,1,2
0,3,89,0,1,2
0,3,93,0,1,2
0,3,94,0,1,2
0,3,95,0,1,2
0,3,99,0,1,2
0,3,100,0,1,2
0,3,101,0,1,2
0,3,102,0,1,2
0,3,104,0,1,2
0,3,106,0,1,2
0,3,107,0,1,2
0,3,108,0,1,2
0,3,110,0,1,2
0,3,111,0,1,2
0,3,113,0,2,12
0,3,114,0,2,12
0,3,116,0,2,12
0,3,117,0,2,12
0,3,118,0,2,12
0,3,119,0,2,12
0,3,120,0,2,7
0,3,121,0,2,12
0,3,122,0,2,12
0,3,124,0,2,12
0,3,127,0,2,12
