0,41,42
1,0,9911
2,12,13
3,32,33
4,37,0
5,19,20
6,30,31
7,44,45
8,6,1033
9,38,39
10,48,49
11,31,32
12,4,0
13,24,25
14,20,44
15,50,51
16,41,42
17,50,51
18,31,32
19,19,0
20,5,12997
21,22,23
22,34,35
23,16,1
24,38,39
25,45,46
26,42,43
27,2,8928
28,47,5
29,3,153
30,3,6399
31,5,2
32,28280,0
33,17,5
34,50,1
35,49,8020
36,20,18
37,30,2
38,12,1
39,41,42
40,46,1
41,5,6037
42,15,2
43,45,46
44,47,48
45,19,46
46,49,50
47,38,39
48,49,1
49,42,43
50,6,1
51,38,39
52,41,42
53,31,32
54,33,34
55,19,20
56,22,1
57,25,3
58,49,50
59,23,1
60,10,8
61,49,50
62,38,39
63,42,43
64,5,14629
65,41,9
66,12,3
67,11,48
68,8,50
69,10,1
70,11,12
71,42,43
72,44,45
73,37,3
74,1,48
75,16709,0
76,25,0
77,49,50
78,35,0
79,29,50
80,49,50
81,20262,0
82,38,39
83,26,27
84,50,0
85,18,48
86,45,3
87,2,46
88,46,47
89,45,46
90,31,1
91,18,12
92,46,47
93,8,1
94,50,51
95,48,49
96,10,9
97,20,3
98,14,2701
99,3,8105
100,48,49
101,16392,0
102,28,29
103,44,45
104,45,46
105,14,1
106,10,3
107,43,44
108,42,43
109,4,5
110,13,0
111,18,0
112,50,51
113,49,50
114,46,12
115,17,11
116,42,43
117,16458,0
118,5,0
119,49,0
120,43,44
121,46,4
122,48,49
123,16,0
124,22,0
125,5,6
126,29,30
127,7,0
128,18,5
129,42,4
130,3,10060
131,36,2
132,32,33
133,50,5
134,49,50
135,12,13
136,34,6
137,7,0
138,49,50
139,22,0
140,14,8
141,44,4
142,19,47
143,49,50
144,5,1
145,19,47
146,3,18
147,50,51
148,2,9706
149,21,4057
150,36,37
151,29,30
152,15,6399
153,16183,0
154,29,1
155,4,5
156,43,44
157,47,48
158,50,51
159,7,5
160,8,2
161,8,1
162,27,7
163,17,12
164,45,46
165,3,1
166,44,45
167,20,2
168,3,4
169,19,0
170,35,36
171,45,46
172,10,9807
173,34,35
174,9,50
175,44,6
176,3,1
177,50,51
178,21,0
179,38,0
180,39,40
181,37,7
182,47,48
183,13,6573
184,17633,0
185,44,2
186,18705,0
187,15,16
188,7,13993
189,43,44
190,14,2
191,30,0
192,14,12
193,42,43
194,16121,0
195,3,9601
196,11,0
197,50,8
198,16,10
199,16,39
200,26,0
201,9,39
202,41,42
203,22,17
204,49,50
205,11,37
206,3,1
207,21,0
208,5,1378
209,5,1
210,44,45
211,49,50
212,34,35
213,18,13
214,49,8
215,13,0
216,17,18
217,11,5
218,44,45
219,3,12127
220,43,1
221,20,18
222,23,48
223,42,1
224,46,47
225,11,3
226,49,50
227,4,50
228,48,6
229,50,51
230,46,0
231,17,6
232,11,0
233,18,50
234,18,9
235,6,7
236,21,11
237,3,12551
238,42,43
239,31,0
240,4,1
241,47,48
242,46,47
243,38,1
244,42,43
245,23,5
246,48,49
247,30,31
248,49,50
249,17179,0
250,4,868
251,49,50
252,31,32
253,50,51
254,44,45
255,31,32
256,3,4675
257,14,46
258,19,47
259,19,16
260,24,25
261,16,48
262,11,12700
263,4,41
264,42,43
265,6,0
266,8,4
267,46,47
268,40,41
269,50,51
270,39,40
271,15,47
272,18,16
273,16458,0
274,17,13
275,43,44
276,46,47
277,49,50
278,6,0
279,17,9
280,29,30
281,19912,0
282,5,0
283,36,37
284,3,13608
285,49,50
286,7,44
287,10,4
288,46,6
289,43,44
290,22,5
291,50,51
292,16,0
293,2,9365
294,4,1
295,33,34
296,4,2547
297,18,0
298,43,44
299,35,36
300,50,51
301,36,0
302,27,28
303,12,50
304,44,45
305,19,6
306,15,4
307,41,3
308,20,3
309,40,41
310,47,48
311,41,42
312,50,51
313,4,0
314,45,46
